,DrugID,Generic Name,DEA Schedule,Common Uses,Interacts With,Risk Level,Interaction_ID
374,11966,amlodipine,Non-Control,"High blood pressure, chest pain",leucovorin,Minor,51646
375,11966,amlodipine,Non-Control,"High blood pressure, chest pain",mannitol,Minor,33387
376,11966,amlodipine,Non-Control,"High blood pressure, chest pain",acetylcysteine,Minor,52610
377,11966,amlodipine,Non-Control,"High blood pressure, chest pain",galactose,Minor,96974
378,11966,amlodipine,Non-Control,"High blood pressure, chest pain",calcium acetate,Moderate,46565
379,11966,amlodipine,Non-Control,"High blood pressure, chest pain",diatrizoate,Moderate,88649
380,11966,amlodipine,Non-Control,"High blood pressure, chest pain",folic acid,Minor,81096
381,11966,amlodipine,Non-Control,"High blood pressure, chest pain",gadodiamide,Minor,98083
434,70433,amoxicillin,Non-Control,Bacterial infections,iodide i-123,Moderate,12814
435,70433,amoxicillin,Non-Control,Bacterial infections,iodide i-131,Moderate,89593
436,70433,amoxicillin,Non-Control,Bacterial infections,promethazine,Minor,39177
437,70433,amoxicillin,Non-Control,Bacterial infections,acetylcysteine,Minor,52610
438,70433,amoxicillin,Non-Control,Bacterial infections,leucovorin,Minor,51646
439,70433,amoxicillin,Non-Control,Bacterial infections,folic acid,Minor,81096
440,70433,amoxicillin,Non-Control,Bacterial infections,prednisolone,Minor,47261
488,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",amyl nitrite,Moderate,58386
489,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",cobicistat,Moderate,63331
490,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",deferasirox,Moderate,11731
491,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",ioflupane i-123,Moderate,92573
492,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",iohexol,Major,52403
493,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",iopamidol,Major,37446
494,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",macimorelin,Moderate,36916
495,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",ethanol,Moderate,53125
496,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",diazoxide,Moderate,10803
497,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",phentolamine,Moderate,95096
498,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",physostigmine,Moderate,54250
499,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",physostigmine (ophthalmic),Moderate,91596
500,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",promethazine,Moderate,39177
501,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",tolbutamide,Moderate,42128
502,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",folic acid,Minor,81096
503,16606,aripiprazole,Non-Control,"Schizophrenia, bipolar disorder, depression",prednisolone,Minor,47261
901,71567,azithromycin,Non-Control,Bacterial infections,macimorelin,Major,36916
902,71567,azithromycin,Non-Control,Bacterial infections,magnesium carbonate,Moderate,81199
903,71567,azithromycin,Non-Control,Bacterial infections,promethazine,Moderate,39177
904,71567,azithromycin,Non-Control,Bacterial infections,prednisolone,Minor,47261
905,71567,azithromycin,Non-Control,Bacterial infections,leucovorin,Minor,51646
906,71567,azithromycin,Non-Control,Bacterial infections,mannitol,Minor,33387
907,71567,azithromycin,Non-Control,Bacterial infections,acetylcysteine,Minor,52610
908,71567,azithromycin,Non-Control,Bacterial infections,galactose,Minor,96974
909,71567,azithromycin,Non-Control,Bacterial infections,vitamin a,Minor,22945
910,71567,azithromycin,Non-Control,Bacterial infections,folic acid,Minor,81096
1170,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadobutrol,Moderate,66515
1171,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadofosveset trisodium,Moderate,29636
1172,28093,carvedilol,Non-Control,"High blood pressure, heart failure",amifostine,Moderate,10853
1173,28093,carvedilol,Non-Control,"High blood pressure, heart failure",cobicistat,Moderate,63331
1174,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadoteric acid,Moderate,13871
1175,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadoxetic acid,Moderate,36386
1176,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iobenguane (i-131),Major,28573
1177,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iodipamide,Moderate,87496
1178,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iodixanol,Moderate,80432
1179,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iohexol,Moderate,52403
1180,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iopamidol,Moderate,37446
1181,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iopanoic acid,Moderate,70029
1182,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iopromide,Moderate,37238
1183,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iothalamic acid,Moderate,46641
1184,28093,carvedilol,Non-Control,"High blood pressure, heart failure",ioversol,Moderate,56265
1185,28093,carvedilol,Non-Control,"High blood pressure, heart failure",ioxilan,Moderate,43286
1186,28093,carvedilol,Non-Control,"High blood pressure, heart failure",iopodic acid,Moderate,71700
1187,28093,carvedilol,Non-Control,"High blood pressure, heart failure",lanthanum carbonate,Moderate,73840
1188,28093,carvedilol,Non-Control,"High blood pressure, heart failure",magnesium carbonate,Minor,81199
1189,28093,carvedilol,Non-Control,"High blood pressure, heart failure",methacholine,Major,10610
1190,28093,carvedilol,Non-Control,"High blood pressure, heart failure",nitrous acid,Moderate,58109
1191,28093,carvedilol,Non-Control,"High blood pressure, heart failure",tyropanoic acid,Moderate,21328
1192,28093,carvedilol,Non-Control,"High blood pressure, heart failure",acetylcysteine,Minor,52610
1193,28093,carvedilol,Non-Control,"High blood pressure, heart failure",galactose,Minor,96974
1194,28093,carvedilol,Non-Control,"High blood pressure, heart failure",ethanol,Moderate,53125
1195,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadobenic acid,Moderate,94769
1196,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadopentetic acid,Moderate,98875
1197,28093,carvedilol,Non-Control,"High blood pressure, heart failure",calcium acetate,Moderate,46565
1198,28093,carvedilol,Non-Control,"High blood pressure, heart failure",diatrizoate,Moderate,88649
1199,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadodiamide,Moderate,98083
1200,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadoteridol,Moderate,94746
1201,28093,carvedilol,Non-Control,"High blood pressure, heart failure",gadoversetamide,Moderate,61006
1202,28093,carvedilol,Non-Control,"High blood pressure, heart failure",physostigmine,Moderate,54250
1203,28093,carvedilol,Non-Control,"High blood pressure, heart failure",prednisolone,Moderate,47261
1204,28093,carvedilol,Non-Control,"High blood pressure, heart failure",promethazine,Moderate,39177
1205,28093,carvedilol,Non-Control,"High blood pressure, heart failure",tolbutamide,Moderate,42128
1206,28093,carvedilol,Non-Control,"High blood pressure, heart failure",leucovorin,Minor,51646
1207,28093,carvedilol,Non-Control,"High blood pressure, heart failure",mannitol,Minor,33387
1208,28093,carvedilol,Non-Control,"High blood pressure, heart failure",folic acid,Minor,81096
1209,28093,carvedilol,Non-Control,"High blood pressure, heart failure",sevelamer,Minor,49368
1210,28093,carvedilol,Non-Control,"High blood pressure, heart failure",deferoxamine,Minor,11347
1434,20365,cephalexin,Non-Control,Bacterial infections,sevelamer,Minor,49368
1435,20365,cephalexin,Non-Control,Bacterial infections,prednisolone,Minor,47261
1436,20365,cephalexin,Non-Control,Bacterial infections,promethazine,Minor,39177
1437,20365,cephalexin,Non-Control,Bacterial infections,leucovorin,Minor,51646
1438,20365,cephalexin,Non-Control,Bacterial infections,acetylcysteine,Minor,52610
1439,20365,cephalexin,Non-Control,Bacterial infections,galactose,Minor,96974
1440,20365,cephalexin,Non-Control,Bacterial infections,folic acid,Minor,81096
1448,50549,cetirizine,Non-Control,Allergies,ethanol,Moderate,53125
1449,50549,cetirizine,Non-Control,Allergies,histamine,Moderate,78313
1450,50549,cetirizine,Non-Control,Allergies,promethazine,Moderate,39177
1451,50549,cetirizine,Non-Control,Allergies,iodide i-123,Moderate,12814
1452,50549,cetirizine,Non-Control,Allergies,iodide i-131,Moderate,89593
1453,50549,cetirizine,Non-Control,Allergies,sevelamer,Minor,49368
1454,50549,cetirizine,Non-Control,Allergies,prednisolone,Minor,47261
1455,50549,cetirizine,Non-Control,Allergies,leucovorin,Minor,51646
1456,50549,cetirizine,Non-Control,Allergies,acetylcysteine,Minor,52610
1457,50549,cetirizine,Non-Control,Allergies,vitamin a,Minor,22945
1458,50549,cetirizine,Non-Control,Allergies,folic acid,Minor,81096
1655,36135,citalopram,Non-Control,Depression,ethanol,Moderate,53125
1656,36135,citalopram,Non-Control,Depression,cobicistat,Minor,63331
1657,36135,citalopram,Non-Control,Depression,deferasirox,Moderate,11731
1658,36135,citalopram,Non-Control,Depression,iobenguane (i-123),Moderate,21716
1659,36135,citalopram,Non-Control,Depression,ioflupane i-123,Moderate,92573
1660,36135,citalopram,Non-Control,Depression,iohexol,Major,52403
1661,36135,citalopram,Non-Control,Depression,iopamidol,Major,37446
1662,36135,citalopram,Non-Control,Depression,macimorelin,Major,36916
1663,36135,citalopram,Non-Control,Depression,mannitol,Moderate,33387
1664,36135,citalopram,Non-Control,Depression,methylene blue,Major,64452
1665,36135,citalopram,Non-Control,Depression,promethazine,Major,39177
1666,36135,citalopram,Non-Control,Depression,tolbutamide,Moderate,42128
1667,36135,citalopram,Non-Control,Depression,gadodiamide,Minor,98083
1668,36135,citalopram,Non-Control,Depression,gadoversetamide,Minor,61006
1669,36135,citalopram,Non-Control,Depression,sevelamer,Minor,49368
1670,36135,citalopram,Non-Control,Depression,prednisolone,Minor,47261
1671,36135,citalopram,Non-Control,Depression,naloxone,Minor,77812
1672,36135,citalopram,Non-Control,Depression,iopromide,Minor,37238
1673,36135,citalopram,Non-Control,Depression,leucovorin,Minor,51646
1674,36135,citalopram,Non-Control,Depression,acetylcysteine,Minor,52610
1675,36135,citalopram,Non-Control,Depression,galactose,Minor,96974
1676,36135,citalopram,Non-Control,Depression,ibritumomab tiuxetan,Moderate,76531
1677,36135,citalopram,Non-Control,Depression,tositumomab (i-131),Moderate,66679
1678,36135,citalopram,Non-Control,Depression,tositumomab,Moderate,49493
1679,36135,citalopram,Non-Control,Depression,caffeine,Minor,67487
1680,36135,citalopram,Non-Control,Depression,folic acid,Minor,81096
1681,36135,citalopram,Non-Control,Depression,hydroxocobalamin,Minor,34047
1802,82480,clonazepam,CIV,"Anxiety, seizures",cobicistat,Moderate,63331
1803,82480,clonazepam,CIV,"Anxiety, seizures",amyl nitrite,Moderate,58386
1804,82480,clonazepam,CIV,"Anxiety, seizures",deferasirox,Moderate,11731
1805,82480,clonazepam,CIV,"Anxiety, seizures",diazoxide,Moderate,10803
1806,82480,clonazepam,CIV,"Anxiety, seizures",flumazenil,Moderate,80004
1807,82480,clonazepam,CIV,"Anxiety, seizures",magnesium carbonate,Minor,81199
1808,82480,clonazepam,CIV,"Anxiety, seizures",methylene blue,Moderate,64452
1809,82480,clonazepam,CIV,"Anxiety, seizures",promethazine,Moderate,39177
1810,82480,clonazepam,CIV,"Anxiety, seizures",iodide i-123,Moderate,12814
1811,82480,clonazepam,CIV,"Anxiety, seizures",iodide i-131,Moderate,89593
1812,82480,clonazepam,CIV,"Anxiety, seizures",ethanol,Moderate,53125
1813,82480,clonazepam,CIV,"Anxiety, seizures",phentolamine,Moderate,95096
1814,82480,clonazepam,CIV,"Anxiety, seizures",vitamin a,Minor,22945
1815,82480,clonazepam,CIV,"Anxiety, seizures",caffeine,Minor,67487
1816,82480,clonazepam,CIV,"Anxiety, seizures",leucovorin,Minor,51646
1817,82480,clonazepam,CIV,"Anxiety, seizures",mannitol,Minor,33387
1818,82480,clonazepam,CIV,"Anxiety, seizures",folic acid,Minor,81096
1819,82480,clonazepam,CIV,"Anxiety, seizures",hydroxocobalamin,Minor,34047
1820,82480,clonazepam,CIV,"Anxiety, seizures",gadodiamide,Minor,98083
1821,82480,clonazepam,CIV,"Anxiety, seizures",sevelamer,Minor,49368
1822,82480,clonazepam,CIV,"Anxiety, seizures",prednisolone,Minor,47261
2093,37753,cyclobenzaprine,Non-Control,Muscle spasms,methylene blue,Major,64452
2094,37753,cyclobenzaprine,Non-Control,Muscle spasms,deferasirox,Moderate,11731
2095,37753,cyclobenzaprine,Non-Control,Muscle spasms,iohexol,Major,52403
2096,37753,cyclobenzaprine,Non-Control,Muscle spasms,iopamidol,Major,37446
2097,37753,cyclobenzaprine,Non-Control,Muscle spasms,physostigmine,Moderate,54250
2098,37753,cyclobenzaprine,Non-Control,Muscle spasms,physostigmine (ophthalmic),Moderate,91596
2099,37753,cyclobenzaprine,Non-Control,Muscle spasms,promethazine,Moderate,39177
2100,37753,cyclobenzaprine,Non-Control,Muscle spasms,ethanol,Moderate,53125
2101,37753,cyclobenzaprine,Non-Control,Muscle spasms,leucovorin,Minor,51646
2102,37753,cyclobenzaprine,Non-Control,Muscle spasms,folic acid,Minor,81096
2103,37753,cyclobenzaprine,Non-Control,Muscle spasms,sevelamer,Minor,49368
2104,37753,cyclobenzaprine,Non-Control,Muscle spasms,prednisolone,Minor,47261
2756,36217,dulaglutide,Non-Control,Type 2 diabetes,ethanol,Moderate,53125
2757,36217,dulaglutide,Non-Control,Type 2 diabetes,diazoxide,Moderate,10803
2758,36217,dulaglutide,Non-Control,Type 2 diabetes,prednisolone,Moderate,47261
2759,36217,dulaglutide,Non-Control,Type 2 diabetes,promethazine,Moderate,39177
2760,36217,dulaglutide,Non-Control,Type 2 diabetes,sermorelin,Moderate,18529
2761,36217,dulaglutide,Non-Control,Type 2 diabetes,tolbutamide,Moderate,42128
2768,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",ethanol,Moderate,53125
2769,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",cobicistat,Moderate,63331
2770,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",deferasirox,Moderate,11731
2771,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",iobenguane (i-123),Moderate,21716
2772,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",iobenguane (i-131),Major,28573
2773,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",ioflupane i-123,Moderate,92573
2774,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",iohexol,Major,52403
2775,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",iopamidol,Major,37446
2776,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",magnesium carbonate,Minor,81199
2777,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",mannitol,Moderate,33387
2778,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",methylene blue,Major,64452
2779,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",promethazine,Moderate,39177
2780,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",sevelamer,Minor,49368
2781,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",leucovorin,Minor,51646
2782,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",deferoxamine,Minor,11347
2783,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",prednisolone,Minor,47261
2784,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",caffeine,Moderate,67487
2785,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",ibritumomab tiuxetan,Moderate,76531
2786,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",tositumomab (i-131),Moderate,66679
2787,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",tositumomab,Moderate,49493
2788,36969,duloxetine,Non-Control,"Depression, anxiety, nerve pain",folic acid,Minor,81096
3049,38112,estradiol,Non-Control,Hormone replacement therapy,cobicistat,Moderate,63331
3050,38112,estradiol,Non-Control,Hormone replacement therapy,deferasirox,Moderate,11731
3051,38112,estradiol,Non-Control,Hormone replacement therapy,metyrapone,Moderate,83027
3052,38112,estradiol,Non-Control,Hormone replacement therapy,prednisolone,Moderate,47261
3053,38112,estradiol,Non-Control,Hormone replacement therapy,tolbutamide,Moderate,42128
3054,38112,estradiol,Non-Control,Hormone replacement therapy,promethazine,Minor,39177
3055,38112,estradiol,Non-Control,Hormone replacement therapy,acetylcysteine,Minor,52610
3056,38112,estradiol,Non-Control,Hormone replacement therapy,leucovorin,Minor,51646
3057,38112,estradiol,Non-Control,Hormone replacement therapy,folic acid,Minor,81096
3058,38112,estradiol,Non-Control,Hormone replacement therapy,vitamin a,Minor,22945
3349,70754,famotidine,Non-Control,"Acid reflux, heartburn",magnesium carbonate,Minor,81199
3350,70754,famotidine,Non-Control,"Acid reflux, heartburn",promethazine,Moderate,39177
3351,70754,famotidine,Non-Control,"Acid reflux, heartburn",tolbutamide,Moderate,42128
3352,70754,famotidine,Non-Control,"Acid reflux, heartburn",iodixanol,Minor,80432
3353,70754,famotidine,Non-Control,"Acid reflux, heartburn",iohexol,Minor,52403
3354,70754,famotidine,Non-Control,"Acid reflux, heartburn",iopamidol,Minor,37446
3355,70754,famotidine,Non-Control,"Acid reflux, heartburn",ioversol,Minor,56265
3356,70754,famotidine,Non-Control,"Acid reflux, heartburn",acetylcysteine,Minor,52610
3357,70754,famotidine,Non-Control,"Acid reflux, heartburn",galactose,Minor,96974
3358,70754,famotidine,Non-Control,"Acid reflux, heartburn",vitamin a,Minor,22945
3359,70754,famotidine,Non-Control,"Acid reflux, heartburn",leucovorin,Minor,51646
3360,70754,famotidine,Non-Control,"Acid reflux, heartburn",mannitol,Minor,33387
3361,70754,famotidine,Non-Control,"Acid reflux, heartburn",folic acid,Minor,81096
3362,70754,famotidine,Non-Control,"Acid reflux, heartburn",gadodiamide,Minor,98083
3363,70754,famotidine,Non-Control,"Acid reflux, heartburn",sevelamer,Minor,49368
3364,70754,famotidine,Non-Control,"Acid reflux, heartburn",prednisolone,Minor,47261
4251,14645,finasteride,Non-Control,Enlarged prostate,acetylcysteine,Minor,52610
4252,14645,finasteride,Non-Control,Enlarged prostate,leucovorin,Minor,51646
4253,14645,finasteride,Non-Control,Enlarged prostate,folic acid,Minor,81096
4254,14645,finasteride,Non-Control,Enlarged prostate,sevelamer,Minor,49368
4255,14645,finasteride,Non-Control,Enlarged prostate,prednisolone,Minor,47261
4256,14645,finasteride,Non-Control,Enlarged prostate,promethazine,Minor,39177
4275,21436,fluconazole,Non-Control,Fungal infections,cobicistat,Moderate,63331
4276,21436,fluconazole,Non-Control,Fungal infections,promethazine,Moderate,39177
4277,21436,fluconazole,Non-Control,Fungal infections,macimorelin,Major,36916
4278,21436,fluconazole,Non-Control,Fungal infections,prednisolone,Moderate,47261
4279,21436,fluconazole,Non-Control,Fungal infections,tolbutamide,Major,42128
4280,21436,fluconazole,Non-Control,Fungal infections,gadodiamide,Minor,98083
4281,21436,fluconazole,Non-Control,Fungal infections,sevelamer,Minor,49368
4282,21436,fluconazole,Non-Control,Fungal infections,naloxone,Minor,77812
4283,21436,fluconazole,Non-Control,Fungal infections,iopromide,Minor,37238
4284,21436,fluconazole,Non-Control,Fungal infections,leucovorin,Minor,51646
4285,21436,fluconazole,Non-Control,Fungal infections,mannitol,Minor,33387
4286,21436,fluconazole,Non-Control,Fungal infections,deferoxamine,Minor,11347
4287,21436,fluconazole,Non-Control,Fungal infections,amifostine,Minor,10853
4288,21436,fluconazole,Non-Control,Fungal infections,acetylcysteine,Minor,52610
4289,21436,fluconazole,Non-Control,Fungal infections,galactose,Minor,96974
4290,21436,fluconazole,Non-Control,Fungal infections,vitamin a,Minor,22945
4291,21436,fluconazole,Non-Control,Fungal infections,folic acid,Minor,81096
4343,21863,fluoxetine,Non-Control,"Depression, OCD",ethanol,Moderate,53125
4344,21863,fluoxetine,Non-Control,"Depression, OCD",cobicistat,Moderate,63331
4345,21863,fluoxetine,Non-Control,"Depression, OCD",methylene blue,Major,64452
4346,21863,fluoxetine,Non-Control,"Depression, OCD",deferasirox,Moderate,11731
4347,21863,fluoxetine,Non-Control,"Depression, OCD",iohexol,Major,52403
4348,21863,fluoxetine,Non-Control,"Depression, OCD",iopamidol,Major,37446
4349,21863,fluoxetine,Non-Control,"Depression, OCD",mannitol,Moderate,33387
4350,21863,fluoxetine,Non-Control,"Depression, OCD",promethazine,Moderate,39177
4351,21863,fluoxetine,Non-Control,"Depression, OCD",tolbutamide,Moderate,42128
4352,21863,fluoxetine,Non-Control,"Depression, OCD",ioflupane i-123,Moderate,92573
4353,21863,fluoxetine,Non-Control,"Depression, OCD",iobenguane (i-123),Moderate,21716
4354,21863,fluoxetine,Non-Control,"Depression, OCD",macimorelin,Major,36916
4355,21863,fluoxetine,Non-Control,"Depression, OCD",prednisolone,Minor,47261
4356,21863,fluoxetine,Non-Control,"Depression, OCD",leucovorin,Minor,51646
4357,21863,fluoxetine,Non-Control,"Depression, OCD",acetylcysteine,Minor,52610
4358,21863,fluoxetine,Non-Control,"Depression, OCD",ibritumomab tiuxetan,Moderate,76531
4359,21863,fluoxetine,Non-Control,"Depression, OCD",tositumomab (i-131),Moderate,66679
4360,21863,fluoxetine,Non-Control,"Depression, OCD",tositumomab,Moderate,49493
4361,21863,fluoxetine,Non-Control,"Depression, OCD",folic acid,Minor,81096
4388,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",capecitabine,Major,52494
4389,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",carbamazepine,Moderate,39249
4390,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",cholestyramine,Moderate,37958
4391,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",colestipol,Moderate,32511
4392,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",valproic acid,Moderate,65462
4393,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",phenobarbital,Moderate,47378
4394,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",eslicarbazepine,Moderate,22062
4395,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ethosuximide,Moderate,83041
4396,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",ethotoin,Moderate,35634
4397,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",felbamate,Moderate,61693
4398,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fluorouracil,Major,44345
4399,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",fosphenytoin,Moderate,47474
4400,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",lamotrigine,Moderate,54988
4401,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",mephenytoin,Moderate,36347
4402,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methylphenobarbital,Moderate,35887
4403,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methotrexate,Moderate,46028
4404,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",methsuximide,Moderate,34687
4405,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",oxcarbazepine,Moderate,29487
4406,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",phensuximide,Moderate,35453
4407,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",phenytoin,Moderate,88096
4408,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",primidone,Moderate,71693
4409,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",pyrimethamine,Moderate,11774
4410,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",rufinamide,Moderate,55037
4411,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfadiazine,Moderate,47756
4412,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfadoxine,Moderate,11236
4413,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfamethizole,Moderate,15529
4414,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfamethoxazole,Moderate,38656
4415,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfasalazine,Minor,71500
4416,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",sulfisoxazole,Moderate,25157
4417,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",triamterene,Moderate,85831
4418,82950,folic acid,Non-Control,"Folic acid deficiency, pregnancy support",trimethoprim,Moderate,26400
